sheet,sub_table,unit_text_raw,unit_normalized,scale_factor,notes
Table_R1,2,"Table R1.2, Current account, not seasonally adjusted (£ million)",GBP_million,1000000,
Table_R1,3,"Table R1.3, Financial account [note 1], not seasonally adjusted (£ million)",GBP_million,1000000,
Table_R2,1,"Table R2: Current account revisions since last Balance of Payments Statistical Bulletin, seasonally adjusted",unknown,,4번째 부표는 % of GDP
Table_R2,1,"Table R2.1, Current Account Credits (£ million)",GBP_million,1000000,4번째 부표는 % of GDP
Table_R2,2,"Table R2.2, Current Account Debits (£ million)",GBP_million,1000000,4번째 부표는 % of GDP
Table_R2,3,"Table R2.3, Current Account Balances (£ million)",GBP_million,1000000,4번째 부표는 % of GDP
Table_R2,4,GBP million / % of GDP,GBP_million,1000000,4번째 부표는 % of GDP
Table_R3,1,"Table R3: Revisions to international investment since last Balance of Payments Statistical Bulletin, not seasonally adjusted",unknown,,9개 부표 단일 시트 적층
Table_R3,1,"Table R3.1, Investment Abroad, International Investment Position (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,2,"Table R3.2, Investment Abroad, Financial Account transactions [note 1] (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,3,"Table R3.3, Investment Abroad, Investment income earnings (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,4,"Table R3.4, Investment in the UK, International Investment Position (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,5,"Table R3.5, Investment in the UK, Financial Account transactions (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,6,"Table R3.6, Investment in the UK, Investment income (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,7,"Table R3.7, Net investment, International Investment Position (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,8,"Table R3.8, Net investment, Financial Account transactions [note 1] (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
Table_R3,9,"Table R3.9, Net investment, Investment income earnings (£ billion)",GBP_billion,1000000000,9개 부표 단일 시트 적층
