cdid,item_name_kr,stat_code,time,data_value,unit
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2023Q3,-44840.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2023Q4,-48847.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2024Q1,-44126.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2024Q2,-58111.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2024Q3,-45751.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2024Q4,-57034.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2025Q1,-55228.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2025Q2,-62834.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2025Q3,-59366.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2025Q4,-65496.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2006Q1,11523.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2006Q2,11850.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2006Q3,15496.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2006Q4,15449.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2007Q1,14542.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2007Q2,15590.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2007Q3,16841.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2007Q4,16426.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2008Q1,14472.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2008Q2,16850.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2008Q3,17230.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2008Q4,20438.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2009Q1,18028.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2009Q2,17613.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2009Q3,16400.0,GBP million
