time_period,l87q,l86m,l86i,l876,l86e,l877
2021Q3,-21269,9303,-11966,-3936,-2374,-18276
2021Q4,-16133,8440,-7693,-4852,-3031,-15576
2022Q1,-24539,6788,-17751,-2368,-2160,-22279
2022Q2,-24699,6501,-18198,663,-2636,-20171
2022Q3,-20508,9114,-11394,-3324,-2173,-16891
2022Q4,-28382,9597,-18785,672,-2603,-20716
2023Q1,-31375,9681,-21694,-10537,-2683,-34914
2023Q2,-34491,6282,-28209,-15103,-2299,-45611
2023Q3,-32352,6862,-25490,-10425,-2295,-38210
2023Q4,-34128,6959,-27169,-12136,-1943,-41248
2024Q1,-32525,7819,-24706,-10541,-1470,-36717
2024Q2,-33701,10584,-23117,-9187,-785,-33089
2024Q3,-31614,11163,-20451,-11034,738,-30747
2024Q4,-33443,12550,-20893,-9497,-1030,-31420
2025Q1,-31944,10916,-21028,-8810,-309,-30147
2025Q2,-35389,12591,-22798,-11181,-516,-34495
2025Q3,-34927,14200,-20727,-7047,-399,-28173
2025Q4,-35126,11006,-24120,-7872,-400,-32392
