time_period,l87k,l86n,l86j,l87h,l86f,l87i
2021Q2,-13104,29684,16580,3601,-3201,16980
2021Q3,-22314,25521,3207,2411,-2903,2715
2021Q4,-20898,28971,8073,6394,-2543,11924
2022Q1,-37608,29964,-7644,-2735,-3822,-14201
2022Q2,-32925,32653,-272,8048,-3399,4377
2022Q3,-18904,35338,16434,969,-2943,14460
2022Q4,-7831,37694,29863,-559,-3330,25974
2023Q1,-18174,35726,17552,246,-2675,15123
2023Q2,-14409,33595,19186,-5250,-3007,10929
2023Q3,-12488,31313,18825,6396,-2750,22471
2023Q4,-14719,29577,14858,861,-2516,13203
2024Q1,-11601,31991,20390,-81,-4436,15873
2024Q2,-24410,36397,11987,641,-2871,9757
2024Q3,-14137,35859,21722,-1990,-2879,16853
2024Q4,-23591,37645,14054,-5716,-4514,3824
2025Q1,-23284,34891,11607,1594,-4464,8737
2025Q2,-27445,39254,11809,2986,-3514,11281
2025Q3,-24439,39331,14892,6308,-3716,17484
2025Q4,-30370,42329,11959,5198,-3157,14000
