time_period,_neg_hbwn,_neg_hbwt,_neg_mu7l,_neg_mu7m,_neg_hbwv,_neg_hbwx,_neg_hhzd,_neg_zpnn,_neg_hhyr,_neg_ltcv,_neg_hbnt
2007Q4,1921,10900,30584,43405,-32862,-32026,-64888,2028,-11423,2506,-28372
2008Q1,-19922,14695,-2776,-8003,-24129,-73273,-97402,64442,23740,-931,-18154
2008Q2,-2462,9896,11967,19401,-37475,-52867,-90342,18285,42505,108,-10043
2008Q3,4139,13108,7317,24564,5202,-59025,-53823,-14141,34550,-2132,-10982
2008Q4,9647,-4904,16970,21713,-62918,-130286,-193204,57743,81433,1617,-30698
2009Q1,-2806,-300,1987,-1119,7473,-20078,-12605,9545,-3956,-1877,-10012
2009Q2,-2949,4084,-8576,-7441,-6755,-26312,-33067,-7376,39847,1304,-6733
2009Q3,-1291,-3255,-13182,-17728,-3136,-28250,-31386,-10393,29619,6787,-23101
2009Q4,-24822,3579,8538,-12705,12084,-35771,-23687,-23720,56222,-451,-4341
2010Q1,-10515,6471,-9169,-13213,-34025,-63474,-97499,-24042,110705,1323,-22726
2010Q2,7196,6278,11821,25295,-2913,-1238,-4151,-14995,-2650,2862,6361
2010Q3,-7252,6396,-5897,-6753,56014,-23094,32920,-8577,-35470,676,-17204
2010Q4,-8998,3585,-6458,-11871,20482,-11531,8951,-3205,-21751,1209,-26667
2011Q1,3245,16197,-478,18964,-18377,-40034,-58411,44652,27,2300,7532
2011Q2,7186,14579,-8671,13094,8957,1804,10761,944,-42782,2450,-15533
2011Q3,4653,1505,-130,6028,-51444,-30917,-82361,-15197,86464,-959,-6025
2011Q4,-10478,-349,6062,-4765,202,-27406,-27204,-22859,35699,1157,-17972
2012Q1,-11994,10338,-7265,-8921,24956,31361,56317,-24979,-31553,612,-8524
2012Q2,-10989,6350,3276,-1363,-3915,-12572,-16487,-19653,35003,2730,230
2012Q3,-4836,4249,-1060,-1647,40142,88776,128918,4789,-156109,2493,-21556
2012Q4,-4015,465,-6515,-10065,12058,1109,13167,2271,-21698,1807,-14518
2013Q1,-2511,1177,7690,6356,12565,-39265,-26700,39669,-33053,2828,-10900
2013Q2,-6408,5860,-38539,-39087,-18434,-25870,-44304,61224,19262,874,-2031
2013Q3,-3221,-1490,-4373,-9084,-18650,-6348,-24998,-72732,67759,766,-38289
2013Q4,-2688,-10503,47848,34657,-2114,-51671,-53785,11358,-10311,493,-17588
2014Q1,-85085,3502,-58100,-139683,49057,22076,71133,27643,5686,2709,-32512
2014Q2,-1471,-11931,37098,23696,-12158,9107,-3051,-13607,-11774,825,-3911
2014Q3,-1104,-2101,45644,42439,-14663,-19564,-34227,-27769,5443,-665,-14779
2014Q4,-497,-7930,-24971,-33398,-22320,-787,-23107,27697,-11722,4244,-36286
2015Q1,-5932,-8466,-40853,-55251,-31000,39224,8224,-100913,120642,12638,-14660
2015Q2,-8533,-2199,6679,-4053,-43982,-59244,-103226,9578,71257,1101,-25343
