time_period,fut8,d28k,fut9,d28m,d28n,fuu2
2022Q4,-8.2,7.1,-1.1,0,-0.9,-2
2023Q1,-8.2,6.7,-1.5,-1.5,-0.8,-3.8
2023Q2,-7.7,5.8,-1.9,-3,-0.8,-5.6
2023Q3,-6.7,5.5,-1.2,-0.6,-0.7,-2.5
2023Q4,-7.5,5.3,-2.2,-1.6,-0.6,-4.5
2024Q1,-6.7,5.6,-1,-1.5,-0.8,-3.4
2024Q2,-7.2,6.5,-0.7,-1.2,-0.5,-2.4
2024Q3,-6.5,6.4,-0.1,-1.8,-0.3,-2.2
2024Q4,-7.4,6.8,-0.6,-2.1,-0.8,-3.4
2025Q1,-6.7,6.1,-0.6,-1,-0.6,-2.2
2025Q2,-7.5,6.8,-0.7,-1.1,-0.5,-2.3
2025Q3,-7.5,7,-0.5,-0.1,-0.5,-1.2
2025Q4,-7.2,6.9,-0.3,-0.3,-0.5,-1.1
