time_period,mu7e,hlzx,cgna,hhcb,hmbm
2018Q4,2,-8.4,-2.1,0.4,-8.2
2019Q1,18.5,-10.1,-2.9,0.4,5.8
2019Q2,19.3,-15.2,-3.8,0.4,0.7
2019Q3,12.7,-12,-3.1,0.4,-2
2019Q4,5.8,-7.8,-3.5,0.4,-5.1
2020Q1,3.8,-5.7,-3.2,0.4,-4.7
2020Q2,-14.9,-5.4,-3,0.3,-23
2020Q3,4.6,-7.3,-2.7,0.3,-5.1
2020Q4,0,-7.3,-2.6,0.3,-9.6
2021Q1,12.7,-8.4,-2.4,0.2,2.1
2021Q2,11.5,-10.9,-2.6,0.2,-1.7
2021Q3,14.6,-13.9,-2.5,0.2,-1.6
2021Q4,11.1,-7.5,-2.3,0.2,1.5
2022Q1,13.3,-13.8,-2.7,0.2,-3.1
2022Q2,28.1,-19,-3.4,0.3,6
2022Q3,16.5,-15.1,-4.2,0.6,-2.1
2022Q4,20.1,-14.5,-5.1,0.8,1.4
2023Q1,10.3,-14,-5.7,0.9,-8.5
2023Q2,2.3,-19.3,-7,1.1,-22.9
2023Q3,12.8,-12.5,-6.3,1.2,-4.8
2023Q4,8.2,-10.7,-7.8,1.2,-9
2024Q1,9.8,-12.2,-6.8,1.2,-8
2024Q2,9.5,-17,-7.4,1.2,-13.6
2024Q3,5.4,-11.8,-7.1,1.2,-12.3
2024Q4,0.6,-7.9,-6.6,1.1,-12.8
2025Q1,13,-12.7,-6.5,1.1,-5
2025Q2,13,-21.6,-7.5,1,-15
2025Q3,21.1,-14.1,-5.8,1,2.2
2025Q4,12.9,-8.6,-5.8,1.1,-0.4
