time_period,l87s,l854,l84y,l872,l84s,l873
2020Q2,32226,25992,58218,9323,1828,69369
2020Q3,36844,25352,62196,13219,1771,77186
2020Q4,41472,27976,69448,12242,1578,83268
2021Q1,33423,29386,62809,14565,1578,78952
2021Q2,40584,28330,68914,15243,1440,85597
2021Q3,39910,28587,68497,15238,1389,85124
2021Q4,45243,32626,77869,15769,1454,95092
2022Q1,46704,32767,79471,23016,1566,104053
2022Q2,53396,36540,89936,28905,1481,120322
2022Q3,55169,40003,95172,29150,1548,125870
2022Q4,53026,40933,93959,39164,1413,134536
2023Q1,49952,43259,93211,34127,1461,128799
2023Q2,48268,41197,89465,32282,1497,123244
2023Q3,47157,40770,87927,38019,1421,127367
2023Q4,46416,40648,87064,39367,1514,127945
2024Q1,45526,43607,89133,32936,1511,123580
2024Q2,47309,46309,93618,32912,1809,128339
2024Q3,46180,46413,92593,32403,2281,127277
2024Q4,44821,49682,94503,32815,1522,128840
2025Q1,47086,49304,96390,29416,1650,127456
2025Q2,44574,50602,95176,29542,1550,126268
2025Q3,45825,52580,98405,32175,1507,132087
2025Q4,44901,50559,95460,31314,1597,128371
