time_period,n2qp,hlyx,aiop,hhcb,hmbn
2023Q3,45.4,20.2,41.6,1.2,108.5
2023Q4,43.4,19.3,44.3,1.2,108.3
2024Q1,38.3,20.5,44.6,1.2,104.5
2024Q2,36.3,22.4,44,1.2,103.9
2024Q3,37.6,21.6,44.1,1.2,104.5
2024Q4,38.6,22.2,42.6,1.1,104.6
2025Q1,35.5,22.1,41.6,1.1,100.2
2025Q2,36.6,22.7,40.3,1,100.6
2025Q3,42.4,22.3,42.6,1,108.3
2025Q4,39.7,23.5,43.3,1.1,107.7
