time_period,l87o,l869,l865,l87f,l85x,l87g
2022Q1,85814,30038,115852,41780,9666,167298
2022Q2,86917,35358,122275,40396,9050,171721
2022Q3,86158,37584,123742,45713,9478,178933
2022Q4,80001,40332,120333,57282,8966,186581
2023Q1,77740,38832,116572,64466,8413,189451
2023Q2,72170,40509,112679,69437,8948,191064
2023Q3,66834,41880,108714,64653,8485,181852
2023Q4,68584,43641,112225,68777,8498,189500
2024Q1,64754,43694,108448,71399,9977,189824
2024Q2,75995,43652,119647,71317,8748,199712
2024Q3,68038,44726,112764,74300,9031,196095
2024Q4,72656,46456,119112,78424,10594,208130
2025Q1,77448,47839,125287,69332,10501,205120
2025Q2,76186,46040,122226,69776,9711,201713
2025Q3,74728,45862,120590,69264,10049,199903
2025Q4,79236,47068,126304,71901,9669,207874
