time_period,l87u,l868,l864,l874,l85w,l875
2021Q1,55938,18166,74104,17505,1074,92683
2021Q2,59070,17173,76243,18951,2375,97569
2021Q3,61179,19284,80463,19174,3763,103400
2021Q4,61376,24186,85562,20621,4485,110668
2022Q1,71243,25979,97222,25384,3726,126332
2022Q2,78095,30039,108134,28242,4117,140493
2022Q3,75677,30889,106566,32474,3721,142761
2022Q4,81408,31336,112744,38492,4016,155252
2023Q1,81327,33578,114905,44664,4144,163713
2023Q2,82759,34915,117674,47385,3796,168855
2023Q3,79509,33908,113417,48444,3716,165577
2023Q4,80544,33689,114233,51503,3457,169193
2024Q1,78051,35788,113839,43477,2981,160297
2024Q2,81010,35725,116735,42099,2594,161428
2024Q3,77794,35250,113044,43437,1543,158024
2024Q4,78264,37132,115396,42312,2552,160260
2025Q1,79030,38388,117418,38226,1959,157603
2025Q2,79963,38011,117974,40723,2066,160763
2025Q3,80752,38380,119132,39222,1906,160260
2025Q4,80027,39553,119580,39186,1997,160763
