time_period,l87m,l855,l84z,l87d,l84t,l87e
2021Q1,44691,51174,95865,36145,5370,137380
2021Q2,47050,53997,101047,37039,4700,142786
2021Q3,42864,52674,95538,34960,5844,136342
2021Q4,49805,59947,109752,38007,5488,153247
2022Q1,48206,60002,108208,39045,5844,153097
2022Q2,53992,68011,122003,48444,5651,176098
2022Q3,67254,72922,140176,46682,6535,193393
2022Q4,72170,78026,150196,56723,5636,212555
2023Q1,59566,74558,134124,64712,5738,204574
2023Q2,57761,74104,131865,64187,5941,201993
2023Q3,54346,73193,127539,71049,5735,204323
2023Q4,53865,73218,127083,69638,5982,202703
2024Q1,53153,75685,128838,71318,5541,205697
2024Q2,51585,80049,131634,71958,5877,209469
2024Q3,53901,80585,134486,72310,6152,212948
2024Q4,49065,84101,133166,72708,6080,211954
2025Q1,54164,82730,136894,70926,6037,213857
2025Q2,48741,85294,134035,72762,6197,212994
2025Q3,50289,85193,135482,75572,6333,217387
2025Q4,48866,89397,138263,77099,6512,221874
